time flux "flux error"
120.53882471062389 1.0001892e+00 6.9345449e-05
120.55925930149533 9.9992448e-01 6.9909518e-05
120.57969379242422 1.0000501e+00 6.9920032e-05
120.60012848328915 1.0001833e+00 7.0135276e-05
120.62056307421881 1.0003902e+00 7.0274276e-05
120.64099756508949 1.0000803e+00 7.0302151e-05
120.66143215601187 9.9947846e-01 7.0174407e-05
120.68186684694228 1.0002215e+00 7.0295762e-05
120.70230133787118 1.0005617e+00 7.0268128e-05
120.72273592879355 1.0001109e+00 7.0330396e-05
120.74317061972397 1.0000548e+00 7.0377937e-05
120.76360511065286 1.0000954e+00 7.0474380e-05
120.78403970163345 9.9983263e-01 7.0609422e-05
120.8044742925631 1.0005244e+00 7.0587281e-05
120.82490888355096 1.0009365e+00 7.0708775e-05
120.84534347447334 9.9938500e-01 7.0653899e-05
120.8657780654612 9.9960798e-01 7.0764421e-05
120.88621275644982 1.0004184e+00 7.0809554e-05
120.90664724737144 1.0006855e+00 7.0788337e-05
120.9270818383593 9.9996334e-01 7.0815440e-05
120.94751652934065 9.9963862e-01 7.0825467e-05
120.96795102032775 1.0001932e+00 7.0884678e-05
120.98838561137381 1.0009316e+00 7.0911250e-05
121.00882010236091 1.0004110e+00 7.0901202e-05
121.02925479334226 9.9923414e-01 7.0927046e-05
121.04968938433012 9.9982983e-01 7.0857939e-05
121.07012397537619 1.0008775e+00 7.1035953e-05
121.09055856635678 9.9998540e-01 7.0992959e-05
121.11099315740285 1.0001140e+00 7.0932256e-05
121.1314277483907 9.9998415e-01 7.0991489e-05
121.15186223942874 9.9940336e-01 7.1045892e-05
121.17229693047557 1.0002562e+00 7.1087466e-05
121.19273152146343 1.0005486e+00 7.1151182e-05
121.21316601250146 1.0002041e+00 7.1104572e-05
121.23360070354829 9.9931788e-01 7.1138980e-05
121.25403529459436 1.0000288e+00 7.1143164e-05
121.27446978563239 9.9999601e-01 7.1205424e-05
121.29490437667846 1.0001469e+00 7.1160546e-05
121.31533906772529 1.0002618e+00 7.1197937e-05
121.33577365876408 9.9981916e-01 7.1183407e-05
121.35620814980939 1.0001299e+00 7.1264396e-05
121.37664284085622 1.0006883e+00 7.1214541e-05
121.39707743189501 1.0001241e+00 7.1186514e-05
121.41751192299853 9.9967098e-01 7.1244111e-05
121.4379465140446 1.0002431e+00 7.1235874e-05
121.45838120508415 1.0003680e+00 7.1215582e-05
121.47881569612946 1.0007124e+00 7.1202929e-05
121.49925028717553 1.0002375e+00 7.1122246e-05
121.51968487827253 9.9963421e-01 7.1145216e-05
121.54011956931936 9.9997634e-01 7.1107424e-05
121.56055416042364 1.0004019e+00 7.1181777e-05
121.58098865146167 9.9952966e-01 7.1170245e-05
121.6014233425085 9.9936903e-01 7.1001472e-05
121.62185793361277 1.0002487e+00 7.1113573e-05
121.6422924246508 1.0000740e+00 7.1072041e-05
121.66272701575508 9.9938935e-01 7.1016730e-05
121.68316170680191 1.0001713e+00 7.0977818e-05
121.70359619783994 9.9971509e-01 7.0913433e-05
121.72403078894422 9.9937528e-01 7.0789552e-05
121.74446548004926 1.0002003e+00 7.0879825e-05
121.76489997108729 1.0000819e+00 7.0884344e-05
121.78533456213336 1.0001020e+00 7.0933296e-05
121.80576915323763 1.0000327e+00 7.1029230e-05
121.82620374427643 1.0001957e+00 7.0942864e-05
121.8466383353807 1.0004792e+00 7.1002098e-05
121.86707292642677 1.0002759e+00 7.1001843e-05
121.88750751746556 9.9999797e-01 7.1013579e-05
121.90794210856984 9.9968261e-01 7.1071387e-05
121.92837669961591 1.0008922e+00 7.1083567e-05
121.94881119065394 1.0004627e+00 7.1005379e-05
121.96924588175898 9.9942720e-01 7.1111244e-05
121.98968047280505 1.0002649e+00 7.1046110e-05
122.01011496385036 1.0002515e+00 7.1002978e-05
122.03054965488991 1.0004029e+00 7.1053277e-05
122.05098424599419 1.0001332e+00 7.1024151e-05
122.07141883703298 9.9986100e-01 7.0923605e-05
122.09185332807829 9.9965817e-01 7.0879389e-05
122.11228801912512 1.0005785e+00 7.0892173e-05
122.13272261016391 1.0006382e+00 7.0836002e-05
122.15315710120922 1.0000566e+00 7.0959868e-05
122.17359179225605 1.0000007e+00 7.1091737e-05
122.19402638329484 1.0001054e+00 7.1144925e-05
122.21446087434015 9.9996555e-01 7.1054295e-05
122.23489546538622 1.0006230e+00 7.1149254e-05
122.25533015642577 1.0003942e+00 7.1165079e-05
122.27576464747108 9.9956417e-01 7.1097355e-05
122.29619923845894 1.0002946e+00 7.1131202e-05
122.3166339294985 1.0007957e+00 7.1128226e-05
122.3370684205438 1.0003127e+00 7.1106464e-05
122.35750301153166 1.0000395e+00 7.1137190e-05
122.37793760257046 9.9958754e-01 7.1134935e-05
122.39837229355908 1.0001688e+00 7.1107803e-05
122.41880678460439 1.0010607e+00 7.1090792e-05
122.43924137558497 1.0003228e+00 7.1088441e-05
122.45967606657359 9.9958903e-01 7.1110910e-05
122.48011055756069 9.9977642e-01 7.1104761e-05
122.50054514854128 1.0009838e+00 7.1179951e-05
122.52097963952838 1.0001910e+00 7.1209346e-05
122.541414330517 9.9998051e-01 7.1116272e-05
122.5618489215558 1.0003656e+00 7.1153278e-05
122.58228351248545 1.0006381e+00 7.1248418e-05
122.60271810347331 1.0007963e+00 7.1200775e-05
122.62315269445389 1.0003885e+00 7.1266724e-05
122.64358728538355 9.9969357e-01 7.1208015e-05
122.66402177637065 1.0002592e+00 7.1169976e-05
122.68445646729378 1.0000416e+00 7.1170747e-05
122.70489105822344 1.0005091e+00 7.1227878e-05
122.72532554921054 1.0002031e+00 7.1073409e-05
122.74576024013368 9.9977797e-01 7.1088594e-05
122.76619483106333 9.9952531e-01 7.0881448e-05
122.78662932199222 1.0001409e+00 7.1091046e-05
122.8070639129146 1.0009609e+00 7.1034672e-05
122.82749860378681 9.9969345e-01 7.0983013e-05
122.84793319471646 9.9947870e-01 7.0928807e-05
122.86836778558063 1.0003338e+00 7.0891430e-05
122.88880237651028 1.0009129e+00 7.0945614e-05
122.90923696738173 1.0001872e+00 7.0958602e-05
122.9296715582459 9.9967343e-01 7.0850721e-05
122.95010604911658 9.9974245e-01 7.1013303e-05
122.97054073998879 1.0005091e+00 7.1051720e-05
122.99097533085296 1.0007451e+00 7.1066650e-05
123.01140982172365 1.0000964e+00 7.1162125e-05
123.03184451259585 1.0000153e+00 7.1116701e-05
123.05227910340182 1.0002203e+00 7.1175411e-05
123.07271369427326 1.0008011e+00 7.1292379e-05
123.09314818508574 1.0006353e+00 7.1230308e-05
123.11358287589246 1.0000467e+00 7.1159375e-05
123.1340174667057 1.0000592e+00 7.1244554e-05
123.15445195751818 1.0004983e+00 7.1167153e-05
123.1748866483249 1.0004799e+00 7.1218659e-05
123.19532123907993 1.0001832e+00 7.1123097e-05
123.2157557298342 1.0001513e+00 7.1145703e-05
123.23619032064744 1.0004785e+00 7.0974165e-05
123.25662501139595 9.9976867e-01 7.1055176e-05
123.27705950215022 1.0007287e+00 7.1166920e-05
123.31792878365377 9.9987596e-01 7.1184520e-05
123.33836327434983 9.9968350e-01 7.1159164e-05
123.35879786504665 1.0007384e+00 7.1256960e-05
123.37923245579441 1.0009962e+00 7.1308496e-05
123.39966714649199 1.0000876e+00 7.1240436e-05
123.42010163718078 9.9991715e-01 7.1239454e-05
123.4405362278776 1.0002943e+00 7.1294307e-05
123.46097091851698 1.0006306e+00 7.1311297e-05
123.48140540921304 9.9997622e-01 7.1316259e-05
123.50183999984438 9.9922419e-01 7.1272400e-05
123.52227449048223 1.0003043e+00 7.1325456e-05
123.54270918111433 1.0004699e+00 7.1249240e-05
123.56314377175295 9.9990040e-01 7.1279930e-05
123.58357836239156 1.0002143e+00 7.1254850e-05
123.60401295297197 1.0001454e+00 7.1268019e-05
123.62444754360331 1.0001746e+00 7.1263064e-05
123.64488213418372 9.9998701e-01 7.1196715e-05
123.66531662476336 1.0003947e+00 7.1142771e-05
123.68575131533726 9.9997479e-01 7.1186318e-05
123.70618590585946 9.9987578e-01 7.1152564e-05
123.7266203963809 1.0002271e+00 7.1205628e-05
123.74705508695479 1.0002955e+00 7.1219685e-05
123.76748967747699 1.0000057e+00 7.1157527e-05
123.78792416799843 9.9991119e-01 7.1288356e-05
123.80835875845514 1.0001014e+00 7.1208800e-05
123.8287934489781 1.0004617e+00 7.1191193e-05
123.84922793944133 1.0008988e+00 7.1144299e-05
123.86966252989805 9.9986833e-01 7.1104878e-05
123.8900972203628 9.9950618e-01 7.1093520e-05
123.91053181076131 1.0003442e+00 7.1102688e-05
123.93096630122454 1.0002992e+00 7.1141236e-05
123.95140089163033 1.0004662e+00 7.1050228e-05
123.9718355820296 9.9960083e-01 7.0877788e-05
123.99227007243462 9.9973828e-01 7.0948765e-05
124.0127046627822 1.0005268e+00 7.1067516e-05
124.03313935318147 1.0005720e+00 7.0980459e-05
124.05357384352828 9.9968135e-01 7.1081369e-05
124.07400843387586 9.9934906e-01 7.1071801e-05
124.09444302422344 1.0009576e+00 7.1210728e-05
124.11487761450553 1.0000079e+00 7.1124181e-05
124.13531220485311 1.0000983e+00 7.1148061e-05
124.1557467951352 1.0002942e+00 7.1172668e-05
124.17618148542533 9.9966264e-01 7.1178554e-05
124.19661597565573 9.9977785e-01 7.1198046e-05
124.2170505659451 1.0004640e+00 7.1330716e-05
124.23748515616899 1.0002064e+00 7.1254668e-05
124.25791974640015 9.9979156e-01 7.1222494e-05
124.27835433656583 9.9956006e-01 7.1245260e-05
124.29878892679699 1.0004138e+00 7.1237591e-05
124.3192236169707 1.0005658e+00 7.1250324e-05
124.3396581071429 1.0003158e+00 7.1150374e-05
124.36009269730857 9.9944550e-01 7.1128190e-05
124.38052728742332 9.9964094e-01 7.1078670e-05
124.40096187753079 1.0011896e+00 7.1024675e-05
124.42139646764554 1.0001209e+00 7.1094750e-05
124.44183105776028 9.9933678e-01 7.1004892e-05
124.46226574786851 9.9945450e-01 7.1087336e-05
124.48270023786608 1.0004914e+00 7.1187940e-05
124.50313482798083 9.9997723e-01 7.1126407e-05
124.5235693179784 1.0002825e+00 7.1151429e-05
124.54400400802842 9.9940437e-01 7.1117145e-05
124.56443859802675 9.9973893e-01 7.1069917e-05
124.58487308802432 1.0003264e+00 7.1059010e-05
124.60530777795793 1.0006851e+00 7.1049741e-05
124.62574236795626 9.9987018e-01 7.1048409e-05
124.64617695788911 1.0002384e+00 7.1070353e-05
124.66661144782847 1.0000025e+00 7.1102615e-05
124.68704613771115 1.0003102e+00 7.0973852e-05
124.70748072759307 1.0003582e+00 7.0970491e-05
124.72791521746694 1.0003413e+00 7.0936389e-05
124.74834990734962 9.9894941e-01 7.0847236e-05
124.76878449722426 1.0002477e+00 7.0900984e-05
124.7892189870472 1.0006436e+00 7.0872964e-05
124.80965357687091 1.0001928e+00 7.0966256e-05
124.83008826663718 9.9993289e-01 7.0898939e-05
124.85052275639464 9.9924606e-01 7.0922055e-05
124.87095734616014 1.0000594e+00 7.0902977e-05
124.89139193592564 1.0003392e+00 7.0996444e-05
124.91182662568463 1.0001005e+00 7.0880786e-05
124.93226111539116 9.9912149e-01 7.0807459e-05
124.95269570504024 9.9969423e-01 7.0745002e-05
124.97313039474102 1.0007118e+00 7.0926471e-05
124.99356488438934 9.9951601e-01 7.0821043e-05
125.01399947403843 9.9961579e-01 7.0999835e-05
125.03443396362127 9.9995542e-01 7.1144852e-05
125.05486865327111 1.0000210e+00 7.1173788e-05
125.07530324286199 "" ""
125.09573783238739 9.9987286e-01 7.1303053e-05
125.11617242197826 9.9968594e-01 7.1287548e-05
125.13660701151093 9.9975413e-01 7.1292190e-05
125.15704160097812 1.0000912e+00 7.1280752e-05
125.17747609051003 1.0000334e+00 7.1337075e-05
125.19791077998525 1.0003268e+00 7.1302464e-05
125.21834536945244 1.0000904e+00 7.1262155e-05
125.23877985886793 9.9975085e-01 7.1226379e-05
125.25921454828494 1.0003144e+00 7.1299226e-05
125.27964913769392 1.0006236e+00 7.1256516e-05
125.30008362705121 9.9985385e-01 7.1219743e-05
125.32051821640925 9.9942791e-01 7.1228016e-05
125.34095290576079 1.0005459e+00 7.1208931e-05
125.36138739511807 1.0003961e+00 7.1205963e-05
125.38182198441791 9.9978328e-01 7.1150127e-05
125.40225667365303 9.9947554e-01 7.1125847e-05
125.42269126295287 9.9969542e-01 7.1068607e-05
125.44312575219374 1.0001251e+00 7.1004099e-05
125.46356034136988 1.0004441e+00 7.0985232e-05
125.48399503061228 9.9963498e-01 7.0896960e-05
125.50442951985315 9.9982768e-01 7.0825532e-05
125.5248641090293 9.9996853e-01 7.0829199e-05
125.54529879821348 1.0005600e+00 7.0802067e-05
125.56573328727973 9.9946576e-01 7.0899776e-05
125.58616787639767 9.9999768e-01 7.0852482e-05
125.60660246546468 9.9993223e-01 7.1135422e-05
125.62703705453168 1.0000978e+00 7.1093717e-05
125.64747174353397 1.0003021e+00 7.1136317e-05
125.66790623260022 9.9950343e-01 7.1085393e-05
125.68834092155157 1.0000789e+00 7.1009046e-05
125.7087755105531 9.9990892e-01 7.1053044e-05
125.72920999950293 1.0001855e+00 7.1053189e-05
125.74964458839531 1.0005826e+00 7.1067036e-05
125.77007927733939 1.0002362e+00 7.1068527e-05
125.79051376617281 9.9962366e-01 7.1045542e-05
125.8109483550652 9.9954844e-01 7.1065762e-05
125.83138304389286 1.0002618e+00 7.1153794e-05
125.85181753272627 1.0004625e+00 7.1174560e-05
125.87225212150224 9.9886817e-01 7.1169583e-05
125.89268671027094 9.9985957e-01 7.1242946e-05
